name,age,last_login,watch_time,preferred_category,payment_status,email,days_since_login,churned
윤지후,59,2025-04-29,56,예능,unpaid,mijeongo@jusighoesa.com,9,0
이예진,46,2025-04-22,261,예능,unpaid,gimseoyeon@daum.net,16,0
이예원,28,2025-04-17,119,애니메이션,unpaid,jeonghyibag@hanmail.net,21,0
이지민,29,2025-04-16,82,영화,paid,gyeongsui@naver.com,22,0
권보람,53,2025-04-10,13,애니메이션,unpaid,fbag@live.com,28,0
김민서,49,2025-04-09,166,다큐멘터리,paid,geonui@dreamwiz.com,29,0
곽수진,25,2025-04-04,91,영화,paid,areum30@yuhanhoesa.net,34,1
한은주,45,2025-04-13,171,영화,unpaid,subin32@dreamwiz.com,25,0
신예준,25,2025-04-23,110,영화,paid,zgweon@hanmail.net,15,0
장은서,28,2025-04-23,147,다큐멘터리,unpaid,xbag@ju.kr,15,0
김지혜,57,2025-04-19,124,애니메이션,unpaid,jangyeeun@dreamwiz.com,19,0
박준서,43,2025-04-18,108,영화,paid,misugbag@gmail.com,20,0
장숙자,63,2025-04-16,296,다큐멘터리,unpaid,agim@ju.com,22,0
정명숙,44,2025-04-25,191,다큐멘터리,unpaid,agim@jusighoesa.net,13,0
이혜진,29,2025-04-16,178,영화,unpaid,ymun@live.com,22,0
차준호,20,2025-04-20,255,애니메이션,paid,sanghun86@jusighoesa.org,18,0
이정남,39,2025-04-18,51,영화,paid,pryu@dreamwiz.com,20,0
이진우,46,2025-04-09,299,애니메이션,unpaid,songjihu@jusighoesa.kr,29,0
문서현,54,2025-04-18,61,드라마,paid,ibag@ju.com,20,0
허영환,45,2025-04-23,101,애니메이션,unpaid,jaehogim@hanmail.net,15,0
이영호,43,2025-04-27,79,드라마,unpaid,dcoe@nojang.org,11,0
한영순,64,2025-04-29,20,애니메이션,paid,igim@dreamwiz.com,9,0
김준호,63,2025-04-27,16,예능,unpaid,jheo@jucoegim.com,11,0
이도현,56,2025-04-24,27,드라마,paid,sangceol30@naver.com,14,0
조광수,26,2025-04-18,144,예능,unpaid,eunjucoe@yuhanhoesa.com,20,0
백상철,48,2025-04-10,27,다큐멘터리,paid,sinyujin@jusighoesa.com,28,0
황영미,24,2025-04-21,105,애니메이션,paid,yeongho87@dreamwiz.com,17,0
나영수,50,2025-04-08,126,애니메이션,paid,juweoni@hanmail.net,30,1
김유진,41,2025-04-03,147,예능,paid,seongjin53@live.com,35,1
김유진,34,2025-04-27,193,예능,unpaid,yunseo77@dreamwiz.com,11,0
안민준,62,2025-04-03,58,드라마,paid,jihyeonjeong@gmail.com,35,1
홍명자,49,2025-04-06,74,다큐멘터리,paid,ijeongja@ju.com,32,1
박도윤,41,2025-04-25,217,애니메이션,paid,igim@live.com,13,0
박서준,47,2025-04-28,154,예능,unpaid,bagyeonghyi@live.com,10,0
백미숙,45,2025-04-29,207,영화,unpaid,yeongjingang@songi.kr,9,0
성영길,48,2025-04-08,207,예능,paid,jaehoryu@ju.com,30,1
한미경,60,2025-04-20,117,예능,unpaid,seoyeon18@gmail.com,18,0
배정수,52,2025-04-28,116,드라마,unpaid,donghyeon14@gmail.com,10,0
고건우,61,2025-04-08,167,애니메이션,paid,yujino@namicoe.kr,30,1
이하윤,43,2025-04-13,170,다큐멘터리,paid,igweon@daum.net,25,0
우명숙,27,2025-04-04,257,영화,unpaid,jeongjai@live.com,34,1
이은주,39,2025-04-11,296,드라마,unpaid,jgim@live.com,27,0
장재호,31,2025-04-11,13,영화,paid,eunjeong11@gimo.net,27,0
이성호,53,2025-04-29,52,예능,unpaid,nojinho@gimgim.kr,9,0
최승민,45,2025-04-15,52,다큐멘터리,unpaid,isangceol@mungim.kr,23,0
김지후,57,2025-04-05,9,드라마,paid,yeongsungim@ibag.com,33,1
이성민,50,2025-04-08,85,드라마,unpaid,yeongceol37@yuhanhoesa.com,30,1
이준혁,37,2025-04-20,105,영화,paid,jinho69@hotmail.com,18,0
조정수,44,2025-04-14,288,예능,paid,seonghun65@naver.com,24,0
강현주,19,2025-04-01,268,다큐멘터리,paid,junseo65@jusighoesa.kr,37,1
서진우,60,2025-04-11,43,다큐멘터리,unpaid,san@yuhanhoesa.com,27,0
오지우,28,2025-04-04,118,다큐멘터리,unpaid,ejin@bagyumun.kr,34,1
안아름,30,2025-04-14,194,영화,paid,hwangareum@gimgang.kr,24,0
장영숙,58,2025-04-09,150,다큐멘터리,paid,ggim@naver.com,29,0
신영호,59,2025-04-13,196,애니메이션,paid,di@yu.kr,25,0
이진호,40,2025-04-24,205,예능,unpaid,jeonghuni@yuhanhoesa.com,14,0
한성수,30,2025-04-21,206,영화,paid,songsangho@nate.com,17,0
장민지,36,2025-04-02,45,영화,paid,minjii@seonggimi.com,36,1
윤승민,52,2025-04-24,236,애니메이션,paid,ycoe@jusighoesa.com,14,0
안옥자,36,2025-04-12,220,영화,paid,seunghyeon14@dreamwiz.com,26,0
윤은서,63,2025-04-29,14,애니메이션,unpaid,ijeonghyi@hotmail.com,9,0
한수진,46,2025-04-24,224,드라마,unpaid,jeongnamgim@jusighoesa.kr,14,0
이병철,18,2025-04-25,65,애니메이션,paid,myeongsuggim@honggang.org,13,0
김민수,60,2025-04-27,36,영화,paid,fi@live.com,11,0
박민지,47,2025-04-21,61,드라마,unpaid,jaehyeoni@gimbag.net,17,0
박옥순,43,2025-04-10,163,영화,unpaid,eungyeong58@yuhanhoesa.org,28,0
김채원,41,2025-04-07,105,드라마,unpaid,fi@mungimsong.com,31,1
최순자,26,2025-04-03,293,드라마,paid,subinan@hanmail.net,35,1
최옥자,57,2025-04-03,165,애니메이션,paid,hyeonju44@gwagbag.net,35,1
김지아,24,2025-04-20,104,애니메이션,paid,jinjia@hotmail.com,18,0
김민서,27,2025-04-20,282,예능,unpaid,yunseojang@dreamwiz.com,18,0
강재현,32,2025-04-30,118,예능,unpaid,ygim@daum.net,8,0
권정수,34,2025-04-15,122,다큐멘터리,paid,uha@gmail.com,23,0
홍미숙,52,2025-04-21,291,애니메이션,unpaid,jeonghyi86@hanmail.net,17,0
류예진,29,2025-04-09,288,다큐멘터리,paid,jeongung92@dreamwiz.com,29,0
손지연,25,2025-04-13,2,애니메이션,paid,gangjeongja@ju.kr,25,0
한민수,40,2025-04-13,45,애니메이션,unpaid,jiyeonyang@daum.net,25,0
김영미,43,2025-04-14,287,영화,unpaid,ijaeho@yuhanhoesa.net,24,0
김도현,62,2025-04-02,31,예능,unpaid,sgim@ryumin.kr,36,1
박서윤,57,2025-04-19,171,영화,unpaid,gimjuweon@gimhwang.org,19,0
윤정순,18,2025-04-02,226,애니메이션,paid,gangseonghyeon@ogang.com,36,1
강영희,55,2025-04-22,272,애니메이션,unpaid,baeseongmin@yuhanhoesa.com,16,0
김영철,50,2025-04-06,77,애니메이션,paid,hongareum@naver.com,32,1
조병철,37,2025-04-08,85,드라마,unpaid,sunja37@live.com,30,1
박예준,59,2025-04-24,193,예능,unpaid,cunja26@ijanggweon.org,14,0
최건우,50,2025-04-12,121,드라마,unpaid,yuhayun@baggangbag.kr,26,0
이재현,45,2025-04-24,156,애니메이션,unpaid,byeongceol18@jusighoesa.kr,14,0
권은지,57,2025-04-17,163,영화,unpaid,yeonghyi30@ju.com,21,0
조성수,20,2025-05-01,93,드라마,paid,gimseongmin@jusighoesa.org,7,0
김미정,56,2025-04-23,280,드라마,unpaid,hwangdoyun@live.com,15,0
김정식,47,2025-04-17,7,다큐멘터리,unpaid,xbag@yuhanhoesa.org,21,0
최정웅,47,2025-04-21,215,예능,unpaid,gimjia@ju.kr,17,0
김현주,42,2025-04-25,37,예능,unpaid,pgim@heoiryu.kr,13,0
박지후,50,2025-04-29,186,드라마,paid,eunjuna@gimbagi.org,9,0
김영길,62,2025-04-09,212,드라마,unpaid,jaehyeonan@hanmail.net,29,0
최영식,25,2025-04-02,107,애니메이션,paid,seongjinnam@jusighoesa.com,36,1
김은지,28,2025-04-06,254,다큐멘터리,paid,gimhyeonju@live.com,32,1
김현준,65,2025-04-05,137,다큐멘터리,unpaid,gimyeongil@live.com,33,1
이현지,34,2025-04-16,80,영화,paid,bagsunog@gimcoei.com,22,0
이성수,44,2025-04-26,291,다큐멘터리,paid,jeongsu43@daum.net,12,0
김지영,54,2025-04-13,105,다큐멘터리,paid,sanghyeonbag@ibag.org,25,0
이상훈,47,2025-04-24,43,예능,paid,gimyeongja@jusighoesa.com,14,0
이명숙,64,2025-04-06,22,드라마,paid,jeongsug20@live.com,32,1
최유진,58,2025-04-11,201,애니메이션,paid,ygim@ju.org,27,0
김서연,26,2025-04-28,66,예능,unpaid,yeongja19@naver.com,10,0
김혜진,50,2025-04-29,119,드라마,paid,fsong@gimno.com,9,0
최준영,33,2025-04-29,273,예능,unpaid,rgim@live.com,9,0
김병철,62,2025-04-10,261,예능,paid,cyang@hanmail.net,28,0
박춘자,39,2025-04-17,274,예능,unpaid,gimjunyeong@live.com,21,0
손영진,27,2025-04-19,234,다큐멘터리,unpaid,whwang@jeongbagbaeg.kr,19,0
이경수,21,2025-04-20,202,영화,unpaid,baeeunseo@yuhanhoesa.com,18,0
윤상훈,57,2025-04-14,31,예능,paid,seoyeongna@ihonghong.com,24,0
이정호,23,2025-05-01,205,예능,paid,hanjeonghun@hotmail.com,7,0
김혜진,29,2025-04-06,275,드라마,unpaid,seonghun01@gmail.com,32,1
김영진,23,2025-04-11,119,애니메이션,unpaid,jihye32@oheo.org,27,0
김민서,65,2025-04-10,91,애니메이션,unpaid,hongjia@yu.com,28,0
김민재,56,2025-04-08,46,영화,unpaid,lyun@nate.com,30,1
최민준,45,2025-04-28,168,다큐멘터리,unpaid,seojun09@live.com,10,0
황윤서,50,2025-04-21,80,영화,paid,jihye93@yuhanhoesa.com,17,0
손도현,33,2025-04-21,134,영화,unpaid,ngim@hanmail.net,17,0
이지우,38,2025-04-16,101,드라마,unpaid,iyejin@yuhanhoesa.kr,22,0
이준영,38,2025-04-20,293,예능,unpaid,hyeonuan@yu.com,18,0
이정웅,49,2025-04-06,229,영화,unpaid,seohyeon97@yuhanhoesa.com,32,1
이현우,56,2025-04-07,142,예능,paid,areum43@daum.net,31,1
최준혁,57,2025-04-26,100,예능,paid,ijihun@ryugang.kr,12,0
김민준,29,2025-04-17,235,다큐멘터리,unpaid,bagsangho@live.com,21,0
손상훈,43,2025-04-03,258,영화,paid,juweoni@hotmail.com,35,1
이영수,49,2025-04-19,97,다큐멘터리,unpaid,seoyeon21@yu.com,19,0
홍지은,29,2025-04-27,227,영화,paid,pcoe@dreamwiz.com,11,0
이준혁,55,2025-04-11,147,드라마,paid,sanghungweon@jusighoesa.org,27,0
김도현,32,2025-04-03,159,드라마,unpaid,hyejingang@naver.com,35,1
서준서,30,2025-04-15,63,드라마,paid,jcoe@gobag.org,23,0
한영환,18,2025-04-09,58,예능,paid,iseongsu@daum.net,29,0
최미숙,45,2025-04-24,170,애니메이션,paid,jiyeong46@dreamwiz.com,14,0
박보람,63,2025-04-28,167,영화,unpaid,subinjang@live.com,10,0
손성진,39,2025-04-30,180,예능,paid,sinjihye@gimryu.com,8,0
홍준호,48,2025-04-27,122,드라마,unpaid,seongminu@hwangiseo.kr,11,0
김서영,21,2025-04-11,18,드라마,paid,xgweon@gmail.com,27,0
김숙자,19,2025-04-29,183,영화,paid,eunseobag@gmail.com,9,0
양상철,21,2025-04-04,187,드라마,unpaid,dohyeongim@hani.org,34,1
이지훈,57,2025-04-29,130,영화,paid,junseocoe@yuhanhoesa.com,9,0
홍상훈,30,2025-04-05,145,드라마,unpaid,doyun02@jusighoesa.net,33,1
윤영일,38,2025-04-25,284,예능,paid,pbaeg@ju.kr,13,0
이현주,57,2025-04-22,75,드라마,unpaid,wbae@dreamwiz.com,16,0
박정남,31,2025-04-13,90,예능,paid,gimhyejin@nate.com,25,0
최수빈,58,2025-04-29,148,드라마,paid,rgim@goi.net,9,0
윤서연,24,2025-04-23,156,영화,unpaid,songeunju@jangjango.net,15,0
이지후,41,2025-04-29,102,영화,paid,lseo@hanmail.net,9,0
오정수,41,2025-04-23,150,애니메이션,unpaid,migyeong28@hotmail.com,15,0
박정호,21,2025-04-18,299,예능,unpaid,areum35@yu.com,20,0
